,Code,Year,Coal rents (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Forest rents (% of GDP),Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),GDP (constant 2015 US$),GDP (current US$),Gini index,"Government expenditure on education, total (% of GDP)",Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Manufactures exports (% of merchandise exports),Manufactures imports (% of merchandise imports),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mineral rents (% of GDP),Natural gas rents (% of GDP),Oil rents (% of GDP),"Population, total",Research and development expenditure (% of GDP),Ores and metals exports (% of merchandise exports),Ores and metals imports (% of merchandise imports),Total natural resources rents (% of GDP),Human Development Index,GDP_pc
1111,ECU,2005,0.0,5.59422064,27.618174102084,0.209052304128494,59.4704452779803,12.0077046029857,67645562499.1411,41507085000.0,53.1,,28.4816556016882,2.1682770118372,7.3099152595807,77.4388430493985,10100000000.0,10287000000.0,49.1169158229252,2.29840279075247,0.0904096131303906,0.0137364930608804,16.5366396462506,13770012,,0.448753824817946,1.18388916005596,16.8498380565704,0.715,4912.527490835962
1112,ECU,2006,0.0,5.70302868,30.3330747691276,0.263955071486812,59.273668541052,21.1691675530174,70624352725.1051,46802044000.0,52.3,,29.3767084189742,3.29874846258215,8.72701261819668,69.3713084309797,12728000000.0,12114000000.0,53.078878349843,2.02982587683564,0.120095801469637,0.01848153963096,17.9868791091883,14009061,0.128629997372627,0.709601344870952,1.33071744753696,18.3894115217757,0.72,5041.3337999673995
1113,ECU,2007,0.0,5.33981323,31.9317679733426,0.294768768075374,59.9917457565675,20.8185578523109,72171071229.7691,51007777000.0,53.4,,30.6553704545877,2.27618478002121,7.83962339804816,67.2602971146311,14321000000.0,13893000000.0,55.3131339168143,2.56823582019659,0.0715927422537484,0.0200087462005954,16.5138217754915,14251835,0.131940007209778,0.824224237178258,1.41409933642219,16.9001920320212,0.723,5063.984478473762
1114,ECU,2008,0.0,5.37734222,34.1636395532671,0.267515886301042,62.2801482982578,19.1450421412968,76759080483.1984,61762635000.0,49.8,,33.8933078227637,8.40009593987462,7.80356405563098,69.705664800777,18818000000.0,18852000000.0,60.9915687696938,2.66504173599459,0.0223541929369212,0.0174278432820981,18.654574856841,14496797,0.227789998054504,0.654153512760265,1.13188823970264,18.9618727793611,0.729,5294.8993134965185
1115,ECU,2009,0.0,5.6990099,25.2491079369784,0.277257223757117,50.2337945782196,17.6726709546891,77193914220.309,62519686000.0,48.5,4.34242010116577,26.8557410860957,5.15996829181047,8.585174648656,70.1433321512059,13863000000.0,15090000000.0,46.3102133942259,3.11741808812028,0.140750723222177,0.0215040580227175,8.82457083402611,14742766,0.394630014896393,0.49230884676117,1.22867821826994,9.26408283902812,0.731,5236.053683569895
1116,ECU,2010,0.0,6.11657906,27.8949559708311,0.43634400590223,55.3030204823096,21.2708524578488,79915230250.8205,69555367000.0,48.8,4.50743007659912,32.4082827425812,3.55437734567843,9.55838118222669,67.761997513373,17490000000.0,20591000000.0,54.7491899510788,3.01055129218138,0.144998503952396,0.0152411813949828,11.1941478463167,14989585,0.402969986200333,0.62297890547862,1.15624178494271,11.7907315375663,0.736,5331.383774188578
1117,ECU,2011,0.0,6.47737551,31.121199802252,0.350545906433361,57.7787990802791,22.2498905386615,86203073182.7862,79276664000.0,45.9,4.72689008712769,33.3690390907468,4.4745326579584,7.49328575710168,66.2779948267371,22322000000.0,24438000000.0,58.983309388498,3.09511005659875,0.193071406393461,0.0219014648757271,16.0118572281981,15237728,0.339910000562668,0.62204150951619,1.33396583875696,16.5773760059007,0.743,5657.21301645404
1118,ECU,2012,0.0,6.76221228,30.164809271004,0.334498838726345,57.846148412909,22.3899733300935,91066617872.099,87924544000.0,46.1,4.64307022094727,31.5863031373811,5.10172180958666,7.89934071794957,67.3538164807269,23765000000.0,25477000000.0,56.0048397862604,2.94545286467451,0.183332769961552,0.0448272573078322,13.9638597674194,15483883,0.332359999418259,0.65714730012745,1.16040505401778,14.5265186334151,0.751,5881.381167249779
1119,ECU,2013,0.0,6.80123425,28.6382882966079,0.373993054876864,56.5210833601088,23.2690214229046,95571238385.5329,95129659000.0,46.9,5.00464010238647,30.9678677603585,2.72177577710371,5.99747734437701,66.7507197768848,24848000000.0,27146000000.0,54.6559301763081,2.87589068305185,0.164424799645526,0.0450469705695697,12.2978605117168,15722989,0.379900008440018,0.847310221074743,1.32614451378368,12.8813253368088,0.755,6078.439562956693
1120,ECU,2014,0.0,6.72399378,28.0518541458062,0.375842676044914,51.6086837081626,24.1554020451573,99192306978.8112,101726331000.0,45.0,5.26099014282227,29.6563148434008,3.58922016616663,5.62668490551308,65.3339155118994,25724000000.0,27726000000.0,52.5429350243645,2.73923080937619,0.0892047794978054,0.0426715913878213,11.0826381316277,15957994,0.442660003900528,0.74278506267087,1.5180933671318,11.5903571785583,0.76,6215.838092106765
